,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind,picnic,new_hat,hat,WeekendTomorrow,naive_prediction,conditions,is_picnic,is_work,prob_cals,picnic_roll,rand_roll,medium_roll,block_picnic_due_to_last
98,1997-04-11,4,5,0,25,25.0,0.0,0.0,12.16,0,1,1,0,1,good,False,True,0.0,False,False,False,False
99,1997-04-12,4,6,0,25,31.0,0.0,0.0,10.9,0,0,1,1,1,good,False,True,0.0,False,False,False,False
100,1997-04-13,4,7,0,29,29.0,0.0,0.0,8.2,0,0,0,1,0,good,False,False,0.0,False,False,False,False
101,1997-04-14,4,1,0,29,22.0,0.0,0.0,10.53,0,0,0,0,0,good,False,False,0.0,False,False,False,False
102,1997-04-15,4,2,0,24,29.0,0.0,0.0,9.73,0,0,1,0,1,good,False,True,0.0,False,False,False,False
103,1997-04-16,4,3,0,31,35.0,0.0,0.0,9.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
104,1997-04-17,4,4,0,35,28.0,0.0,0.0,6.06,0,0,1,0,1,good,False,True,0.0,False,False,False,False
105,1997-04-18,4,5,0,29,30.0,0.0,0.0,13.2,0,0,1,0,1,good,False,True,0.0,False,False,False,False
106,1997-04-19,4,6,0,29,24.0,0.0,0.0,10.73,0,0,1,1,1,good,False,True,0.0,False,False,False,False
107,1997-04-20,4,7,0,27,20.0,0.03,0.0,11.83,0,0,0,1,0,good,False,False,0.0,False,False,False,False
108,1997-04-21,4,1,0,22,23.0,0.0,0.0,11.46,0,0,1,0,0,good,True,False,0.0,True,False,False,False
109,1997-04-22,4,2,0,24,22.0,0.0,0.0,10.0,0,0,1,0,1,good,False,True,0.0,False,False,False,False
110,1997-04-23,4,3,0,21,21.0,0.0,0.0,11.86,0,0,1,0,1,good,False,True,0.0,False,False,False,False
111,1997-04-24,4,4,0,21,20.0,0.0,0.0,8.63,0,0,1,0,1,good,False,True,0.0,False,False,False,False
112,1997-04-25,4,5,0,22,32.0,0.0,0.0,11.06,0,0,1,0,1,good,False,True,0.0,False,False,False,False
113,1997-04-26,4,6,0,31,31.0,0.0,0.0,8.96,0,0,1,1,1,good,False,True,0.0,False,False,False,False
114,1997-04-27,4,7,0,31,29.0,0.0,0.0,8.36,0,0,0,1,0,good,False,False,0.0,False,False,False,True
115,1997-04-28,4,1,0,30,34.0,0.0,0.0,8.1,0,0,0,0,0,good,False,False,0.0,False,False,False,True
116,1997-04-29,4,2,0,34,31.0,0.0,0.0,4.9,0,1,1,0,1,good,False,True,0.0,False,False,False,False
117,1997-04-30,4,3,0,32,35.0,0.0,0.0,5.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
118,1997-05-01,5,4,0,33,32.0,0.0,0.0,5.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
119,1997-05-02,5,5,0,33,41.0,0.0,0.0,7.73,0,0,1,0,0,good,False,True,0.0,False,False,False,False
120,1997-05-03,5,6,0,37,36.0,0.0,0.0,2.93,0,0,1,1,1,good,False,True,0.0,False,False,False,False
121,1997-05-04,5,7,0,35,41.0,0.0,0.0,7.93,0,0,1,1,0,good,True,False,0.0,True,False,False,False
122,1997-05-05,5,1,0,38,37.0,0.0,0.0,6.7,0,0,0,0,1,good,False,False,0.0,False,False,False,False
123,1997-05-06,5,2,0,36,48.0,0.0,0.1,5.6,0,0,1,0,0,good,False,True,0.0,False,False,False,False
124,1997-05-07,5,3,0,47,47.0,0.09,0.1,3.43,0,0,1,0,0,good,False,True,0.5,False,False,False,False
125,1997-05-08,5,4,0,47,47.0,0.08,0.8,8.33,0,0,1,0,0,good,False,True,0.5,False,False,False,False
126,1997-05-09,5,5,0,50,42.0,0.59,0.0,11.93,0,0,1,0,0,good,False,True,0.8,False,False,True,False
127,1997-05-10,5,6,0,46,43.0,0.0,0.2,5.36,0,0,1,1,0,good,False,True,0.5,False,False,False,False
128,1997-05-11,5,7,0,47,28.0,0.22,0.0,6.66,0,0,0,1,1,good,False,False,0.5,False,False,True,True
129,1997-05-12,5,1,0,29,22.0,0.0,0.1,4.6,0,0,0,0,1,good,False,False,0.0,False,False,False,True
130,1997-05-13,5,2,0,23,36.0,0.1,0.0,5.66,0,0,1,0,1,good,False,True,0.0,False,False,False,False
131,1997-05-14,5,3,0,34,40.0,0.01,0.0,7.53,0,1,1,0,0,good,False,True,0.0,False,False,False,False
132,1997-05-15,5,4,0,37,38.0,0.0,0.0,5.36,0,0,1,0,1,good,False,True,0.0,False,False,False,False
133,1997-05-16,5,5,0,38,36.0,0.0,0.0,3.46,0,0,1,0,1,good,False,True,0.0,False,False,False,False
134,1997-05-17,5,6,0,37,57.0,0.0,0.0,11.83,0,0,1,1,0,good,False,True,0.0,False,False,False,False
135,1997-05-18,5,7,0,60,29.0,0.0,0.0,11.6,0,0,0,1,1,good,True,False,0.0,True,False,False,False
136,1997-05-19,5,1,0,31,24.0,0.0,0.0,11.56,0,0,1,0,1,good,True,False,0.0,True,False,False,False
137,1997-05-20,5,2,0,27,31.0,0.01,0.0,8.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
138,1997-05-21,5,3,0,32,34.0,0.0,0.0,12.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
139,1997-05-22,5,4,0,31,33.0,0.05,0.0,11.13,0,0,1,0,1,good,False,True,0.0,False,False,False,False
140,1997-05-23,5,5,0,30,26.0,0.04,0.1,13.3,0,0,1,0,1,good,False,True,0.0,False,False,False,False
141,1997-05-24,5,6,0,26,30.0,0.08,0.0,11.16,0,0,1,1,1,good,False,True,0.0,False,False,False,False
142,1997-05-25,5,7,1,29,25.0,0.04,0.2,12.5,0,0,0,1,1,good,False,False,0.0,False,False,False,True
143,1997-05-26,5,1,0,23,28.0,0.21,0.0,0.0,0,0,0,0,1,good,False,False,0.0,False,False,False,True
144,1997-05-27,5,2,0,31,23.0,0.0,0.1,13.23,0,0,1,0,1,good,False,True,0.0,False,False,False,False
145,1997-05-28,5,3,0,24,20.0,0.04,0.0,9.56,0,0,1,0,1,good,False,True,0.0,False,False,False,False
146,1997-05-29,5,4,0,22,21.0,0.0,0.0,11.56,0,1,1,0,1,good,False,True,0.0,False,False,False,False
147,1997-05-30,5,5,0,21,23.0,0.0,0.0,7.76,0,0,1,0,1,good,False,True,0.0,False,False,False,False
148,1997-05-31,5,6,0,23,20.0,0.0,0.0,9.36,0,0,1,1,1,good,False,True,0.0,False,False,False,False
149,1997-06-01,6,7,0,19,21.0,0.0,0.0,13.73,0,0,1,1,1,good,True,False,0.0,True,False,False,False
150,1997-06-02,6,1,0,20,45.0,0.0,0.0,9.03,0,0,0,0,0,good,False,False,0.0,False,False,False,False
151,1997-06-03,6,2,0,42,37.0,0.0,0.0,4.56,0,0,1,0,1,good,False,True,0.5,False,False,False,False
152,1997-06-04,6,3,0,40,43.0,0.0,0.2,2.36,0,0,1,0,0,good,False,True,0.5,False,False,True,False
153,1997-06-05,6,4,0,47,44.0,0.38,0.0,9.76,0,0,1,0,0,good,False,True,0.8,False,False,False,False
154,1997-06-06,6,5,0,46,42.0,0.02,0.0,5.76,0,0,1,0,0,good,False,True,0.5,False,False,False,False
155,1997-06-07,6,6,0,44,43.0,0.0,0.0,5.43,0,0,1,1,0,good,False,True,0.5,False,False,False,False
156,1997-06-08,6,7,0,43,39.0,0.01,0.0,5.56,0,0,0,1,0,good,False,False,0.5,False,False,False,True
157,1997-06-09,6,1,0,40,40.0,0.0,0.0,4.13,0,0,0,0,0,good,False,False,0.5,False,False,True,True
158,1997-06-10,6,2,0,37,35.0,0.0,0.0,5.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
159,1997-06-11,6,3,0,33,31.0,0.0,0.0,9.26,0,0,1,0,1,good,False,True,0.0,False,False,False,False
160,1997-06-12,6,4,0,29,35.0,0.0,0.0,8.13,0,0,1,0,1,good,False,True,0.0,False,False,False,False
161,1997-06-13,6,5,0,33,37.0,0.0,0.0,8.63,0,1,1,0,1,good,False,True,0.0,False,False,False,False
162,1997-06-14,6,6,0,35,27.0,0.0,0.0,7.5,0,0,1,1,1,good,False,True,0.0,False,False,False,False
163,1997-06-15,6,7,0,26,36.0,0.0,0.0,5.5,0,0,1,1,1,good,True,False,0.0,True,False,False,False
164,1997-06-16,6,1,0,36,22.0,0.0,0.0,9.03,0,0,0,0,1,good,False,False,0.0,False,False,False,False
165,1997-06-17,6,2,0,23,0.0,0.0,0.0,18.86,0,0,1,0,1,good,False,True,0.0,False,False,False,False
166,1997-06-18,6,3,0,0,8.0,0.0,0.0,1.8,0,0,1,0,1,good,False,True,0.0,False,False,False,False
167,1997-06-19,6,4,0,8,7.0,0.0,0.0,4.83,0,0,1,0,1,good,False,True,0.0,False,False,False,False
168,1997-06-20,6,5,0,7,8.0,0.0,0.0,6.4,0,0,1,0,1,good,False,True,0.0,False,False,False,False
169,1997-06-21,6,6,0,8,17.0,0.0,0.0,6.16,0,0,1,1,1,good,False,True,0.0,False,False,False,False
170,1997-06-22,6,7,0,17,11.0,0.0,0.0,11.0,0,0,0,1,1,good,False,False,0.0,False,False,False,True
171,1997-06-23,6,1,0,10,3.0,0.0,0.0,9.0,0,0,0,0,1,good,False,False,0.0,False,False,False,True
172,1997-06-24,6,2,0,3,6.0,0.0,0.0,0.53,0,0,1,0,1,good,False,True,0.0,False,False,False,False
173,1997-06-25,6,3,0,6,19.0,0.01,0.0,1.6,0,0,1,0,1,good,False,True,0.0,False,False,False,False
174,1997-06-26,6,4,0,19,7.0,0.0,0.0,6.26,0,0,1,0,1,good,False,True,0.0,False,False,False,False
175,1997-06-27,6,5,0,7,24.0,0.0,0.0,2.33,0,0,1,0,1,good,False,True,0.0,False,False,False,False
176,1997-06-28,6,6,0,26,26.0,0.0,0.0,9.03,0,0,1,1,1,good,False,True,0.0,False,False,False,False
177,1997-06-29,6,7,0,26,21.0,0.0,0.0,5.7,0,1,0,1,1,good,False,False,0.0,False,False,False,False
178,1997-06-30,6,1,0,22,26.0,0.0,0.0,9.43,0,0,1,0,1,good,True,False,0.0,True,False,False,False
179,1997-07-01,7,2,0,26,23.0,0.0,0.0,6.7,0,0,1,0,1,good,False,True,0.0,False,False,False,False
180,1997-07-02,7,3,0,22,18.0,0.0,0.0,6.83,0,0,1,0,1,good,False,True,0.0,False,False,False,False
181,1997-07-03,7,4,1,18,20.0,0.0,0.0,6.36,0,0,1,0,1,good,False,True,0.0,False,False,False,True
182,1997-07-04,7,5,0,21,20.0,0.0,0.0,10.86,0,0,1,0,1,good,True,False,0.0,True,False,False,False
183,1997-07-05,7,6,0,20,8.0,0.0,0.0,7.8,0,0,1,1,1,good,False,True,0.0,False,False,False,False
184,1997-07-06,7,7,0,7,13.0,0.0,0.0,3.46,0,0,0,1,1,good,False,False,0.0,False,False,False,True
185,1997-07-07,7,1,0,12,41.0,0.0,0.0,3.4,0,0,0,0,0,good,False,False,0.0,False,False,False,True
186,1997-07-08,7,2,0,44,43.0,0.0,0.0,1.03,0,0,1,0,0,good,False,True,0.5,False,False,False,False
187,1997-07-09,7,3,0,39,23.0,0.0,0.0,7.96,0,0,1,0,1,good,False,True,0.5,False,False,False,False
188,1997-07-10,7,4,0,22,12.0,0.0,0.0,2.96,0,0,1,0,1,good,False,True,0.0,False,False,False,False
189,1997-07-11,7,5,0,12,37.0,0.0,0.0,6.6,0,0,1,0,1,good,False,True,0.0,False,False,False,False
190,1997-07-12,7,6,0,34,59.0,0.0,0.0,6.16,0,0,1,1,0,good,False,True,0.0,False,False,False,False
191,1997-07-13,7,7,0,60,39.0,0.0,0.0,52.6,0,0,0,1,0,good,False,False,0.0,False,False,False,False
192,1997-07-14,7,1,0,36,35.0,0.0,0.0,6.26,0,1,0,0,1,good,False,False,0.0,False,False,False,False
193,1997-07-15,7,2,0,37,32.0,0.0,0.0,10.1,0,0,1,0,1,good,False,True,0.0,False,False,False,False
194,1997-07-16,7,3,0,31,31.0,0.0,0.0,4.63,0,0,1,0,1,good,False,True,0.0,False,False,False,False
195,1997-07-17,7,4,0,31,26.0,0.0,0.0,5.06,0,0,1,0,1,good,False,True,0.0,False,False,False,False
196,1997-07-18,7,5,0,27,30.0,0.02,0.0,1.8,0,0,1,0,1,good,False,True,0.0,False,False,False,False
197,1997-07-19,7,6,0,33,25.0,0.01,0.0,6.23,0,0,1,1,1,good,False,True,0.0,False,False,False,False
198,1997-07-20,7,7,0,25,29.0,0.01,0.1,8.86,0,0,1,1,1,good,True,False,0.0,True,False,False,False
199,1997-07-21,7,1,0,29,35.0,0.13,0.0,13.73,0,0,1,0,1,good,True,False,0.0,True,False,False,False
200,1997-07-22,7,2,0,33,34.0,0.01,0.0,7.3,0,0,1,0,1,good,False,True,0.0,False,False,False,False
201,1997-07-23,7,3,0,37,43.0,0.0,0.0,8.63,0,0,1,0,0,good,False,True,0.0,False,False,False,False
202,1997-07-24,7,4,0,40,29.0,0.0,0.0,11.7,0,0,1,0,1,good,False,True,0.5,False,False,True,False
203,1997-07-25,7,5,0,28,28.0,0.05,0.2,11.23,0,0,1,0,1,good,False,True,0.0,False,False,False,False
204,1997-07-26,7,6,0,29,39.0,0.19,0.0,11.5,0,0,1,1,0,good,False,True,0.0,False,False,False,False
205,1997-07-27,7,7,0,39,46.0,0.0,0.2,10.16,0,0,0,1,0,good,False,False,0.5,False,False,False,True
206,1997-07-28,7,1,0,50,41.0,0.16,0.0,4.43,0,0,0,0,0,good,False,False,0.5,False,False,False,True
207,1997-07-29,7,2,0,43,43.0,0.0,0.0,2.3,0,1,1,0,0,good,False,True,0.5,False,False,True,False
208,1997-07-30,7,3,0,41,41.0,0.0,0.0,4.2,0,0,1,0,0,good,False,True,0.5,False,False,True,False
209,1997-07-31,7,4,0,43,42.0,0.0,0.0,2.36,0,0,1,0,0,good,False,True,0.5,False,False,False,False
210,1997-08-01,8,5,0,43,52.0,0.0,0.8,1.86,0,0,1,0,0,good,False,True,0.5,False,False,False,False
211,1997-08-02,8,6,0,48,23.0,0.63,0.0,5.03,0,0,1,1,1,good,False,True,0.8,False,False,False,False
212,1997-08-03,8,7,0,21,22.0,0.0,0.0,7.9,0,0,1,1,1,good,True,False,0.0,True,False,False,False
213,1997-08-04,8,1,0,20,20.0,0.0,0.0,10.76,0,0,1,0,1,good,True,False,0.0,True,False,False,False
214,1997-08-05,8,2,0,20,19.0,0.0,0.0,7.8,0,0,1,0,1,good,False,True,0.0,False,False,False,False
215,1997-08-06,8,3,0,19,21.0,0.0,0.0,9.46,0,0,1,0,1,good,False,True,0.0,False,False,False,False
216,1997-08-07,8,4,0,21,28.0,0.0,0.0,8.1,0,0,1,0,1,good,False,True,0.0,False,False,False,False
217,1997-08-08,8,5,0,29,29.0,0.05,0.0,11.4,0,0,1,0,1,good,False,True,0.0,False,False,False,False
218,1997-08-09,8,6,0,29,33.0,0.02,0.0,12.43,0,0,1,1,1,good,False,True,0.0,False,False,False,False
219,1997-08-10,8,7,0,31,31.0,0.0,0.0,8.53,0,0,0,1,1,good,False,False,0.0,False,False,False,True
220,1997-08-11,8,1,0,30,28.0,0.0,0.0,11.93,0,0,0,0,1,good,False,False,0.0,False,False,False,True
221,1997-08-12,8,2,0,27,30.0,0.0,0.0,11.46,0,0,1,0,1,good,False,True,0.0,False,False,False,False
222,1997-08-13,8,3,0,29,28.0,0.0,0.0,12.7,0,0,1,0,1,good,False,True,0.0,False,False,False,False
223,1997-08-14,8,4,0,28,32.0,0.03,0.0,11.23,0,1,1,0,1,good,False,True,0.0,False,False,False,False
224,1997-08-15,8,5,0,33,32.0,0.0,0.0,5.46,0,0,1,0,1,good,False,True,0.0,False,False,False,False
