,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind
45,1997-02-17,2,1,0,35,43.0,0.0,0.0,1.56
46,1997-02-18,2,2,0,44,45.0,0.0,0.1,4.06
47,1997-02-19,2,3,0,44,46.0,0.06,0.0,0.0
48,1997-02-20,2,4,0,46,49.0,0.0,0.0,0.86
49,1997-02-21,2,5,0,47,57.0,0.0,0.0,6.56
50,1997-02-22,2,6,0,54,51.0,0.0,0.0,2.13
51,1997-02-23,2,7,0,55,46.0,0.0,0.0,2.76
52,1997-02-24,2,1,0,44,46.0,0.0,0.0,7.73
53,1997-02-25,2,2,0,45,47.0,0.0,0.0,6.16
54,1997-02-26,2,3,0,44,52.0,0.0,0.0,3.63
55,1997-02-27,2,4,0,49,52.0,0.0,0.0,6.46
56,1997-02-28,2,5,0,55,49.0,0.0,0.0,1.83
57,1997-03-01,3,6,0,46,40.0,0.04,0.0,4.43
58,1997-03-02,3,7,0,39,54.0,0.0,0.0,18.8
59,1997-03-03,3,1,0,51,50.0,0.0,0.0,4.9
60,1997-03-04,3,2,0,51,43.0,0.0,0.0,3.86
61,1997-03-05,3,3,0,42,14.0,0.0,0.0,1.86
62,1997-03-06,3,4,0,14,29.0,0.0,0.0,1.4
63,1997-03-07,3,5,0,28,-10.0,0.0,0.0,3.13
64,1997-03-08,3,6,0,-10,26.0,0.0,0.0,0.4
65,1997-03-09,3,7,0,27,13.0,0.0,0.0,7.2
66,1997-03-10,3,1,0,14,25.0,0.0,0.0,4.46
67,1997-03-11,3,2,0,26,39.0,0.0,0.0,1.93
68,1997-03-12,3,3,0,38,37.0,0.0,0.0,8.86
69,1997-03-13,3,4,0,34,38.0,0.0,0.0,6.2
70,1997-03-14,3,5,0,37,37.0,0.0,0.0,6.43
71,1997-03-15,3,6,0,37,64.0,0.0,0.7,6.43
72,1997-03-16,3,7,0,63,83.0,0.75,0.3,6.23
73,1997-03-17,3,1,0,76,59.0,0.49,0.6,5.16
74,1997-03-18,3,2,0,56,55.0,0.62,0.4,4.6
75,1997-03-19,3,3,0,56,86.0,0.49,0.6,4.83
76,1997-03-20,3,4,0,79,83.0,0.5,1.1,4.53
77,1997-03-21,3,5,0,76,68.0,1.13,0.2,3.33
78,1997-03-22,3,6,0,65,46.0,0.14,0.1,6.93
79,1997-03-23,3,7,0,48,57.0,0.12,0.6,9.33
80,1997-03-24,3,1,0,53,72.0,0.46,0.2,6.16
81,1997-03-25,3,2,0,66,63.0,0.18,0.7,5.73
82,1997-03-26,3,3,0,69,79.0,0.97,0.3,6.9
83,1997-03-27,3,4,0,74,52.0,0.24,0.4,6.83
84,1997-03-28,3,5,0,51,42.0,0.66,0.0,5.06
85,1997-03-29,3,6,0,45,44.0,0.0,0.0,5.1
86,1997-03-30,3,7,0,42,47.0,0.0,0.0,10.93
87,1997-03-31,3,1,0,48,45.0,0.0,0.0,3.06
88,1997-04-01,4,2,0,47,51.0,0.01,0.3,5.46
89,1997-04-02,4,3,0,56,71.0,0.41,0.2,5.0
90,1997-04-03,4,4,0,73,74.0,0.11,0.0,3.33
91,1997-04-04,4,5,0,73,70.0,0.0,0.0,5.13
92,1997-04-05,4,6,0,71,70.0,0.04,0.0,8.4
93,1997-04-06,4,7,0,72,71.0,0.04,0.0,8.86
94,1997-04-07,4,1,0,70,15.0,0.0,0.0,6.06
95,1997-04-08,4,2,0,15,20.0,0.0,0.0,3.0
96,1997-04-09,4,3,0,21,8.0,0.0,0.0,2.56
97,1997-04-10,4,4,0,8,23.0,0.0,0.0,2.66
98,1997-04-11,4,5,0,25,25.0,0.0,0.0,12.16
99,1997-04-12,4,6,0,25,31.0,0.0,0.0,10.9
100,1997-04-13,4,7,0,29,29.0,0.0,0.0,8.2
101,1997-04-14,4,1,0,29,22.0,0.0,0.0,10.53
102,1997-04-15,4,2,0,24,29.0,0.0,0.0,9.73
103,1997-04-16,4,3,0,31,35.0,0.0,0.0,9.96
104,1997-04-17,4,4,0,35,28.0,0.0,0.0,6.06
105,1997-04-18,4,5,0,29,30.0,0.0,0.0,13.2
106,1997-04-19,4,6,0,29,24.0,0.0,0.0,10.73
107,1997-04-20,4,7,0,27,20.0,0.03,0.0,11.83
108,1997-04-21,4,1,0,22,23.0,0.0,0.0,11.46
109,1997-04-22,4,2,0,24,22.0,0.0,0.0,10.0
110,1997-04-23,4,3,0,21,21.0,0.0,0.0,11.86
111,1997-04-24,4,4,0,21,20.0,0.0,0.0,8.63
112,1997-04-25,4,5,0,22,32.0,0.0,0.0,11.06
113,1997-04-26,4,6,0,31,31.0,0.0,0.0,8.96
114,1997-04-27,4,7,0,31,29.0,0.0,0.0,8.36
115,1997-04-28,4,1,0,30,34.0,0.0,0.0,8.1
116,1997-04-29,4,2,0,34,31.0,0.0,0.0,4.9
117,1997-04-30,4,3,0,32,35.0,0.0,0.0,5.96
118,1997-05-01,5,4,0,33,32.0,0.0,0.0,5.96
119,1997-05-02,5,5,0,33,41.0,0.0,0.0,7.73
120,1997-05-03,5,6,0,37,36.0,0.0,0.0,2.93
121,1997-05-04,5,7,0,35,41.0,0.0,0.0,7.93
122,1997-05-05,5,1,0,38,37.0,0.0,0.0,6.7
123,1997-05-06,5,2,0,36,48.0,0.0,0.1,5.6
124,1997-05-07,5,3,0,47,47.0,0.09,0.1,3.43
125,1997-05-08,5,4,0,47,47.0,0.08,0.8,8.33
126,1997-05-09,5,5,0,50,42.0,0.59,0.0,11.93
127,1997-05-10,5,6,0,46,43.0,0.0,0.2,5.36
128,1997-05-11,5,7,0,47,28.0,0.22,0.0,6.66
129,1997-05-12,5,1,0,29,22.0,0.0,0.1,4.6
130,1997-05-13,5,2,0,23,36.0,0.1,0.0,5.66
131,1997-05-14,5,3,0,34,40.0,0.01,0.0,7.53
132,1997-05-15,5,4,0,37,38.0,0.0,0.0,5.36
133,1997-05-16,5,5,0,38,36.0,0.0,0.0,3.46
134,1997-05-17,5,6,0,37,57.0,0.0,0.0,11.83
135,1997-05-18,5,7,0,60,29.0,0.0,0.0,11.6
136,1997-05-19,5,1,0,31,24.0,0.0,0.0,11.56
137,1997-05-20,5,2,0,27,31.0,0.01,0.0,8.96
138,1997-05-21,5,3,0,32,34.0,0.0,0.0,12.96
139,1997-05-22,5,4,0,31,33.0,0.05,0.0,11.13
140,1997-05-23,5,5,0,30,26.0,0.04,0.1,13.3
141,1997-05-24,5,6,0,26,30.0,0.08,0.0,11.16
142,1997-05-25,5,7,1,29,25.0,0.04,0.2,12.5
143,1997-05-26,5,1,0,23,28.0,0.21,0.0,0.0
144,1997-05-27,5,2,0,31,23.0,0.0,0.1,13.23
145,1997-05-28,5,3,0,24,20.0,0.04,0.0,9.56
146,1997-05-29,5,4,0,22,21.0,0.0,0.0,11.56
147,1997-05-30,5,5,0,21,23.0,0.0,0.0,7.76
148,1997-05-31,5,6,0,23,20.0,0.0,0.0,9.36
149,1997-06-01,6,7,0,19,21.0,0.0,0.0,13.73
150,1997-06-02,6,1,0,20,45.0,0.0,0.0,9.03
151,1997-06-03,6,2,0,42,37.0,0.0,0.0,4.56
152,1997-06-04,6,3,0,40,43.0,0.0,0.2,2.36
153,1997-06-05,6,4,0,47,44.0,0.38,0.0,9.76
154,1997-06-06,6,5,0,46,42.0,0.02,0.0,5.76
155,1997-06-07,6,6,0,44,43.0,0.0,0.0,5.43
156,1997-06-08,6,7,0,43,39.0,0.01,0.0,5.56
157,1997-06-09,6,1,0,40,40.0,0.0,0.0,4.13
158,1997-06-10,6,2,0,37,35.0,0.0,0.0,5.96
159,1997-06-11,6,3,0,33,31.0,0.0,0.0,9.26
160,1997-06-12,6,4,0,29,35.0,0.0,0.0,8.13
161,1997-06-13,6,5,0,33,37.0,0.0,0.0,8.63
162,1997-06-14,6,6,0,35,27.0,0.0,0.0,7.5
163,1997-06-15,6,7,0,26,36.0,0.0,0.0,5.5
164,1997-06-16,6,1,0,36,22.0,0.0,0.0,9.03
165,1997-06-17,6,2,0,23,0.0,0.0,0.0,18.86
166,1997-06-18,6,3,0,0,8.0,0.0,0.0,1.8
167,1997-06-19,6,4,0,8,7.0,0.0,0.0,4.83
168,1997-06-20,6,5,0,7,8.0,0.0,0.0,6.4
169,1997-06-21,6,6,0,8,17.0,0.0,0.0,6.16
170,1997-06-22,6,7,0,17,11.0,0.0,0.0,11.0
171,1997-06-23,6,1,0,10,3.0,0.0,0.0,9.0
172,1997-06-24,6,2,0,3,6.0,0.0,0.0,0.53
173,1997-06-25,6,3,0,6,19.0,0.01,0.0,1.6
174,1997-06-26,6,4,0,19,7.0,0.0,0.0,6.26
175,1997-06-27,6,5,0,7,24.0,0.0,0.0,2.33
176,1997-06-28,6,6,0,26,26.0,0.0,0.0,9.03
177,1997-06-29,6,7,0,26,21.0,0.0,0.0,5.7
178,1997-06-30,6,1,0,22,26.0,0.0,0.0,9.43
179,1997-07-01,7,2,0,26,23.0,0.0,0.0,6.7
180,1997-07-02,7,3,0,22,18.0,0.0,0.0,6.83
181,1997-07-03,7,4,1,18,20.0,0.0,0.0,6.36
182,1997-07-04,7,5,0,21,20.0,0.0,0.0,10.86
183,1997-07-05,7,6,0,20,8.0,0.0,0.0,7.8
184,1997-07-06,7,7,0,7,13.0,0.0,0.0,3.46
185,1997-07-07,7,1,0,12,41.0,0.0,0.0,3.4
186,1997-07-08,7,2,0,44,43.0,0.0,0.0,1.03
187,1997-07-09,7,3,0,39,23.0,0.0,0.0,7.96
188,1997-07-10,7,4,0,22,12.0,0.0,0.0,2.96
189,1997-07-11,7,5,0,12,37.0,0.0,0.0,6.6
190,1997-07-12,7,6,0,34,59.0,0.0,0.0,6.16
191,1997-07-13,7,7,0,60,39.0,0.0,0.0,52.6
192,1997-07-14,7,1,0,36,35.0,0.0,0.0,6.26
193,1997-07-15,7,2,0,37,32.0,0.0,0.0,10.1
194,1997-07-16,7,3,0,31,31.0,0.0,0.0,4.63
195,1997-07-17,7,4,0,31,26.0,0.0,0.0,5.06
196,1997-07-18,7,5,0,27,30.0,0.02,0.0,1.8
197,1997-07-19,7,6,0,33,25.0,0.01,0.0,6.23
198,1997-07-20,7,7,0,25,29.0,0.01,0.1,8.86
199,1997-07-21,7,1,0,29,35.0,0.13,0.0,13.73
200,1997-07-22,7,2,0,33,34.0,0.01,0.0,7.3
201,1997-07-23,7,3,0,37,43.0,0.0,0.0,8.63
202,1997-07-24,7,4,0,40,29.0,0.0,0.0,11.7
203,1997-07-25,7,5,0,28,28.0,0.05,0.2,11.23
204,1997-07-26,7,6,0,29,39.0,0.19,0.0,11.5
205,1997-07-27,7,7,0,39,46.0,0.0,0.2,10.16
206,1997-07-28,7,1,0,50,41.0,0.16,0.0,4.43
207,1997-07-29,7,2,0,43,43.0,0.0,0.0,2.3
208,1997-07-30,7,3,0,41,41.0,0.0,0.0,4.2
209,1997-07-31,7,4,0,43,42.0,0.0,0.0,2.36
210,1997-08-01,8,5,0,43,52.0,0.0,0.8,1.86
211,1997-08-02,8,6,0,48,23.0,0.63,0.0,5.03
212,1997-08-03,8,7,0,21,22.0,0.0,0.0,7.9
213,1997-08-04,8,1,0,20,20.0,0.0,0.0,10.76
214,1997-08-05,8,2,0,20,19.0,0.0,0.0,7.8
215,1997-08-06,8,3,0,19,21.0,0.0,0.0,9.46
216,1997-08-07,8,4,0,21,28.0,0.0,0.0,8.1
217,1997-08-08,8,5,0,29,29.0,0.05,0.0,11.4
218,1997-08-09,8,6,0,29,33.0,0.02,0.0,12.43
219,1997-08-10,8,7,0,31,31.0,0.0,0.0,8.53
220,1997-08-11,8,1,0,30,28.0,0.0,0.0,11.93
221,1997-08-12,8,2,0,27,30.0,0.0,0.0,11.46
222,1997-08-13,8,3,0,29,28.0,0.0,0.0,12.7
223,1997-08-14,8,4,0,28,32.0,0.03,0.0,11.23
224,1997-08-15,8,5,0,33,32.0,0.0,0.0,5.46
225,1997-08-16,8,6,0,35,35.0,0.0,0.0,7.16
226,1997-08-17,8,7,0,33,33.0,0.0,0.0,3.96
227,1997-08-18,8,1,0,36,35.0,0.0,0.3,5.1
228,1997-08-19,8,2,0,36,7.0,0.21,0.1,9.46
229,1997-08-20,8,3,0,7,31.0,0.06,0.1,3.5
230,1997-08-21,8,4,0,30,33.0,0.06,0.0,7.86
231,1997-08-22,8,5,0,34,19.0,0.01,0.0,3.4
232,1997-08-23,8,6,0,19,33.0,0.01,0.3,4.0
233,1997-08-24,8,7,0,32,15.0,0.31,0.0,19.93
234,1997-08-25,8,1,0,15,31.0,0.0,0.3,2.8
235,1997-08-26,8,2,0,32,32.0,0.29,0.0,7.13
236,1997-08-27,8,3,0,34,28.0,0.0,0.3,8.3
237,1997-08-28,8,4,0,29,38.0,0.31,0.0,13.96
238,1997-08-29,8,5,0,36,42.0,0.0,0.0,8.8
239,1997-08-30,8,6,0,39,30.0,0.0,0.0,8.3
240,1997-08-31,8,7,1,31,30.0,0.01,0.0,9.53
241,1997-09-01,9,1,0,32,31.0,0.0,0.0,9.13
242,1997-09-02,9,2,0,31,81.0,0.01,0.1,7.83
243,1997-09-03,9,3,0,77,34.0,0.05,0.0,5.9
244,1997-09-04,9,4,0,36,49.0,0.0,0.0,7.36
245,1997-09-05,9,5,0,45,54.0,0.0,0.5,1.13
246,1997-09-06,9,6,0,53,53.0,0.55,0.0,3.86
247,1997-09-07,9,7,0,49,42.0,0.0,0.0,2.3
248,1997-09-08,9,1,0,45,17.0,0.0,0.0,2.53
249,1997-09-09,9,2,0,18,18.0,0.0,0.0,6.16
250,1997-09-10,9,3,0,18,22.0,0.0,0.0,8.4
251,1997-09-11,9,4,0,22,23.0,0.0,0.0,10.5
252,1997-09-12,9,5,0,24,17.0,0.0,0.0,3.26
253,1997-09-13,9,6,0,18,35.0,0.0,0.0,7.2
254,1997-09-14,9,7,0,34,43.0,0.0,0.0,3.93
255,1997-09-15,9,1,0,40,37.0,0.0,0.0,3.6
256,1997-09-16,9,2,0,37,35.0,0.0,0.0,5.66
257,1997-09-17,9,3,0,34,39.0,0.0,0.0,4.23
258,1997-09-18,9,4,0,36,36.0,0.0,0.0,2.5
259,1997-09-19,9,5,0,40,39.0,0.0,0.0,3.53
260,1997-09-20,9,6,0,39,39.0,0.0,0.0,3.73
261,1997-09-21,9,7,0,37,40.0,0.0,0.0,0.5
262,1997-09-22,9,1,0,41,37.0,0.0,0.0,5.76
263,1997-09-23,9,2,0,34,44.0,0.0,0.2,4.73
264,1997-09-24,9,3,0,46,44.0,0.22,0.2,8.0
265,1997-09-25,9,4,0,47,47.0,0.2,0.0,4.1
266,1997-09-26,9,5,0,48,50.0,0.02,0.0,9.56
267,1997-09-27,9,6,0,47,36.0,1.54,0.0,13.2
268,1997-09-28,9,7,0,38,51.0,0.0,0.0,4.63
269,1997-09-29,9,1,0,48,45.0,0.01,3.2,7.73
270,1997-09-30,9,2,0,47,33.0,1.81,0.0,13.03
271,1997-10-01,10,3,0,35,47.0,0.0,0.0,4.23
272,1997-10-02,10,4,0,44,44.0,0.0,0.0,4.9
273,1997-10-03,10,5,0,46,43.0,0.0,0.7,6.73
274,1997-10-04,10,6,0,47,40.0,0.57,0.0,3.16
275,1997-10-05,10,7,0,37,41.0,0.0,0.0,5.0
276,1997-10-06,10,1,0,44,50.0,0.0,0.3,5.93
277,1997-10-07,10,2,0,49,54.0,0.23,0.1,13.9
278,1997-10-08,10,3,0,50,32.0,0.09,0.0,9.56
279,1997-10-09,10,4,0,34,40.0,0.0,0.0,5.1
280,1997-10-10,10,5,0,37,39.0,0.04,0.0,6.4
281,1997-10-11,10,6,0,42,51.0,0.0,1.3,4.93
282,1997-10-12,10,7,1,47,48.0,1.04,0.8,6.2
283,1997-10-13,10,1,0,47,45.0,1.29,0.0,8.46
284,1997-10-14,10,2,0,45,40.0,0.0,0.0,6.26
285,1997-10-15,10,3,0,40,14.0,0.0,0.0,8.06
286,1997-10-16,10,4,0,15,40.0,0.0,0.0,1.6
287,1997-10-17,10,5,0,41,30.0,0.0,0.0,9.33
288,1997-10-18,10,6,0,31,37.0,0.03,0.0,6.5
289,1997-10-19,10,7,0,39,45.0,0.0,0.0,3.6
290,1997-10-20,10,1,0,45,42.0,0.0,0.0,4.7
291,1997-10-21,10,2,0,41,42.0,0.0,0.0,3.6
292,1997-10-22,10,3,0,41,42.0,0.0,0.0,9.33
293,1997-10-23,10,4,0,41,41.0,0.0,0.0,4.26
294,1997-10-24,10,5,0,41,9.0,0.0,0.1,4.83
295,1997-10-25,10,6,0,10,12.0,0.07,0.1,6.2
296,1997-10-26,10,7,0,12,28.0,0.07,0.0,7.2
297,1997-10-27,10,1,0,26,31.0,0.02,0.0,0.5
298,1997-10-28,10,2,0,34,37.0,0.0,0.0,2.53
299,1997-10-29,10,3,0,35,12.0,0.02,0.1,4.96
300,1997-10-30,10,4,0,12,14.0,0.09,0.2,5.2
301,1997-10-31,10,5,0,16,35.0,0.26,0.0,3.2
302,1997-11-01,11,6,0,33,37.0,0.0,0.0,7.6
303,1997-11-02,11,7,0,37,34.0,0.0,0.0,7.23
304,1997-11-03,11,1,0,32,35.0,0.0,0.0,5.26
305,1997-11-04,11,2,0,36,22.0,0.0,0.0,6.23
306,1997-11-05,11,3,0,23,27.0,0.0,0.0,9.4
307,1997-11-06,11,4,0,25,23.0,0.0,0.0,8.16
308,1997-11-07,11,5,0,24,28.0,0.0,0.0,5.6
309,1997-11-08,11,6,0,26,21.0,0.0,0.0,10.96
310,1997-11-09,11,7,0,21,21.0,0.0,0.0,16.13
311,1997-11-10,11,1,1,23,12.0,0.0,0.0,8.33
312,1997-11-11,11,2,0,11,3.0,0.0,0.0,0.43
313,1997-11-12,11,3,0,3,20.0,0.0,0.0,1.9
314,1997-11-13,11,4,0,22,46.0,0.0,0.4,0.8
315,1997-11-14,11,5,0,44,44.0,0.52,0.5,6.55
316,1997-11-15,11,6,0,43,51.0,0.43,0.1,8.34
317,1997-11-16,11,7,0,49,47.0,0.13,0.1,6.58
318,1997-11-17,11,1,0,47,27.0,0.11,0.0,7.55
319,1997-11-18,11,2,0,28,35.0,0.0,0.4,4.02
320,1997-11-19,11,3,0,36,28.0,0.48,0.0,5.42
321,1997-11-20,11,4,0,28,6.0,0.03,0.0,18.0
322,1997-11-21,11,5,0,6,31.0,0.0,0.0,3.98
323,1997-11-22,11,6,0,32,37.0,2.35,1.4,14.3
324,1997-11-23,11,7,0,35,14.0,0.81,0.0,5.88
325,1997-11-24,11,1,0,13,2.0,0.0,0.0,18.5
326,1997-11-25,11,2,0,2,0.0,0.0,0.0,1.58
327,1997-11-26,11,3,1,0,35.0,0.0,0.0,1.35
328,1997-11-27,11,4,0,37,36.0,1.75,0.0,9.45
329,1997-11-28,11,5,0,37,29.0,0.0,0.4,14.15
330,1997-11-29,11,6,0,27,28.0,0.33,0.0,1.81
331,1997-11-30,11,7,0,30,31.0,0.03,0.8,13.51
332,1997-12-01,12,1,0,34,37.0,1.33,0.0,5.17
333,1997-12-02,12,2,0,35,40.0,0.04,2.1,14.55
334,1997-12-03,12,3,0,37,23.0,2.66,0.0,16.28
335,1997-12-04,12,4,0,23,15.0,0.03,0.0,18.08
336,1997-12-05,12,5,0,14,29.0,0.0,0.1,1.72
337,1997-12-06,12,6,0,29,-13.0,0.09,0.0,16.57
338,1997-12-07,12,7,0,-13,26.0,0.0,0.0,0.32
339,1997-12-08,12,1,0,27,65.0,0.0,0.0,8.87
340,1997-12-09,12,2,0,60,61.0,0.0,0.0,2.34
341,1997-12-10,12,3,0,60,59.0,0.0,0.0,0.0
342,1997-12-11,12,4,0,60,41.0,0.0,0.2,14.0
343,1997-12-12,12,5,0,39,36.0,0.13,0.1,6.31
344,1997-12-13,12,6,0,33,33.0,0.12,0.7,18.64
345,1997-12-14,12,7,0,32,25.0,0.77,0.0,18.52
346,1997-12-15,12,1,0,24,9.0,0.0,0.0,5.15
347,1997-12-16,12,2,0,9,8.0,0.0,0.0,4.65
348,1997-12-17,12,3,0,8,35.0,0.05,1.1,12.25
349,1997-12-18,12,4,0,33,44.0,1.26,1.4,2.42
350,1997-12-19,12,5,0,41,42.0,1.16,0.6,4.5
351,1997-12-20,12,6,0,42,54.0,0.61,1.2,5.17
352,1997-12-21,12,7,0,52,46.0,1.13,1.6,3.64
353,1997-12-22,12,1,0,48,36.0,1.53,0.0,4.98
354,1997-12-23,12,2,0,35,40.0,0.12,0.3,3.81
355,1997-12-24,12,3,1,38,37.0,0.37,0.6,7.5
356,1997-12-25,12,4,0,34,40.0,0.79,0.4,7.78
357,1997-12-26,12,5,0,40,56.0,1.63,0.6,0.0
358,1997-12-27,12,6,0,51,39.0,0.69,0.1,1.75
359,1997-12-28,12,7,0,36,42.0,0.16,0.0,5.4
360,1997-12-29,12,1,0,43,52.0,0.0,3.6,3.8
361,1997-12-30,12,2,0,49,50.0,1.83,1.0,2.94
362,1997-12-31,12,3,1,49,46.0,2.49,1.3,0.0
363,1998-01-01,1,4,0,47,52.0,1.28,1.2,3.42
364,1998-01-02,1,5,0,51,56.0,1.15,1.8,5.81
365,1998-01-03,1,6,0,55,56.0,1.96,3.0,1.58
366,1998-01-04,1,7,0,55,50.0,2.73,3.4,3.04
367,1998-01-05,1,1,0,46,47.0,3.59,5.1,5.14
368,1998-01-06,1,2,0,45,47.0,4.71,2.2,2.5
369,1998-01-07,1,3,0,48,47.0,2.27,1.1,4.04
370,1998-01-08,1,4,0,51,59.0,1.09,3.1,8.04
371,1998-01-09,1,5,0,57,47.0,2.98,2.2,3.62
372,1998-01-10,1,6,0,51,38.0,2.17,2.0,4.45
373,1998-01-11,1,7,0,39,56.0,1.89,4.4,9.58
374,1998-01-12,1,1,0,54,50.0,4.15,1.5,2.22
375,1998-01-13,1,2,0,53,42.0,1.59,1.4,3.6
376,1998-01-14,1,3,0,47,13.0,1.43,0.0,5.4
377,1998-01-15,1,4,0,14,31.0,0.55,0.3,0.92
378,1998-01-16,1,5,0,29,15.0,0.18,0.4,2.92
379,1998-01-17,1,6,0,15,28.0,0.34,0.3,0.8
380,1998-01-18,1,7,1,27,25.0,0.38,0.4,4.31
381,1998-01-19,1,1,0,26,27.0,0.31,0.3,1.48
382,1998-01-20,1,2,0,28,35.0,0.41,3.5,2.14
383,1998-01-21,1,3,0,33,26.0,1.23,0.0,7.78
384,1998-01-22,1,4,0,29,37.0,1.46,0.6,5.05
385,1998-01-23,1,5,0,35,36.0,0.68,0.6,6.18
386,1998-01-24,1,6,0,35,63.0,0.68,0.1,6.18
387,1998-01-25,1,7,0,63,66.0,0.05,0.6,8.45
388,1998-01-26,1,1,0,70,61.0,0.94,0.0,6.9
389,1998-01-27,1,2,0,56,50.0,0.16,0.2,7.41
390,1998-01-28,1,3,0,53,71.0,0.21,0.3,8.52
391,1998-01-29,1,4,0,72,70.0,0.46,0.8,8.34
392,1998-01-30,1,5,0,70,60.0,0.84,0.6,5.75
393,1998-01-31,1,6,0,63,53.0,0.55,0.6,7.37
394,1998-02-01,2,7,0,51,58.0,0.69,1.0,6.24
395,1998-02-02,2,1,0,54,66.0,0.92,1.2,7.4
396,1998-02-03,2,2,0,63,65.0,1.19,1.6,6.28
397,1998-02-04,2,3,0,65,72.0,1.59,0.9,6.87
398,1998-02-05,2,4,0,68,48.0,0.99,0.7,7.2
399,1998-02-06,2,5,0,49,40.0,0.69,0.6,4.17
400,1998-02-07,2,6,0,42,41.0,0.47,0.8,6.84
401,1998-02-08,2,7,0,43,47.0,0.64,0.1,10.48
402,1998-02-09,2,1,0,45,48.0,0.16,0.3,7.4
403,1998-02-10,2,2,0,46,53.0,0.26,0.1,7.84
404,1998-02-11,2,3,0,49,74.0,0.14,0.2,8.22
405,1998-02-12,2,4,0,73,80.0,0.33,0.0,1.98
406,1998-02-13,2,5,0,74,71.0,0.0,0.3,5.08
407,1998-02-14,2,6,0,72,72.0,0.44,0.2,6.47
408,1998-02-15,2,7,1,72,70.0,0.16,0.1,5.25
409,1998-02-16,2,1,0,73,32.0,0.08,0.0,5.11
410,1998-02-17,2,2,0,33,34.0,0.04,0.0,1.9
411,1998-02-18,2,3,0,36,32.0,0.01,0.1,2.08
412,1998-02-19,2,4,0,30,31.0,0.09,0.4,3.94
413,1998-02-20,2,5,0,29,24.0,0.47,0.2,8.92
414,1998-02-21,2,6,0,26,28.0,0.22,0.4,7.71
415,1998-02-22,2,7,0,30,25.0,0.51,0.1,7.97
416,1998-02-23,2,1,0,28,27.0,0.21,0.6,9.07
417,1998-02-24,2,2,0,26,38.0,0.65,0.4,8.62
418,1998-02-25,2,3,0,35,36.0,0.59,18.6,10.2
419,1998-02-26,2,4,0,36,33.0,12.65,0.0,4.52
