,Date,MOY,DOW,HolidayTomorrow,Temp,Temp_NextForecast,Precipitation,Prec_NextForecast,Wind,picnic,new_hat,hat,is_sick,WeekendTomorrow,naive_prediction
49,1997-02-21,2,5,0,47,55,0,0,6.56,0,1,1,0,0,0
50,1997-02-22,2,6,0,54,59,0,0,2.13,0,0,1,0,1,0
51,1997-02-23,2,7,0,55,44,0,0,2.76,0,0,0,0,1,0
52,1997-02-24,2,1,0,44,46,0,0,7.73,0,0,0,0,0,1
53,1997-02-25,2,2,0,45,43,0,0,6.16,0,0,1,0,0,1
54,1997-02-26,2,3,0,44,45,0,0,3.63,0,0,1,0,0,0
55,1997-02-27,2,4,0,49,60,0,0,6.46,0,0,1,0,0,1
56,1997-02-28,2,5,0,55,43,0,0,1.83,0,0,1,0,0,1
57,1997-03-01,3,6,0,46,41,0.04,0,4.43,0,0,1,0,1,0
58,1997-03-02,3,7,0,39,53,0,0,18.8,0,0,0,0,1,0
59,1997-03-03,3,1,0,51,50,0,0,4.9,0,0,0,0,0,1
60,1997-03-04,3,2,0,51,42,0,0,3.86,0,0,1,0,0,1
61,1997-03-05,3,3,0,42,13,0,0,1.86,0,0,1,0,0,1
62,1997-03-06,3,4,0,14,28,0,0,1.4,0,0,1,0,0,1
63,1997-03-07,3,5,0,28,-10,0,0,3.13,0,0,1,0,0,1
64,1997-03-08,3,6,0,-10,27,0,0,0.4,0,0,1,0,1,0
65,1997-03-09,3,7,0,27,15,0,0,7.2,0,0,0,0,1,0
66,1997-03-10,3,1,0,14,26,0,0,4.46,0,1,0,0,0,1
67,1997-03-11,3,2,0,26,40,0,0,1.93,0,0,1,0,0,1
68,1997-03-12,3,3,0,38,37,0,0,8.86,0,0,1,0,0,1
69,1997-03-13,3,4,0,34,39,0,0,6.2,0,0,1,0,0,1
70,1997-03-14,3,5,0,37,37,0,0,6.43,0,0,1,0,0,0
71,1997-03-15,3,6,0,37,63,0,0.8,6.43,0,0,1,0,1,0
72,1997-03-16,3,7,0,63,75,0.75,0.5,6.23,0,0,0,0,1,0
73,1997-03-17,3,1,0,76,55,0.49,0.5,5.16,0,0,0,0,0,1
74,1997-03-18,3,2,0,56,56,0.62,0.5,4.6,0,0,1,0,0,1
75,1997-03-19,3,3,0,56,78,0.49,0.6,4.83,0,0,1,0,0,1
76,1997-03-20,3,4,0,79,70,0.5,1.5,4.53,0,0,1,0,0,1
77,1997-03-21,3,5,0,76,70,1.13,0.4,3.33,0,0,1,0,0,1
78,1997-03-22,3,6,0,65,51,0.14,0.1,6.93,0,0,0,0,1,0
79,1997-03-23,3,7,0,48,51,0.12,0.5,9.33,0,0,0,0,1,0
80,1997-03-24,3,1,0,53,71,0.46,0.2,6.16,0,0,0,0,0,0
81,1997-03-25,3,2,0,66,67,0.18,0,5.73,0,0,0,0,0,0
82,1997-03-26,3,3,0,69,77,0.97,0.6,6.9,0,0,1,0,0,1
83,1997-03-27,3,4,0,74,48,0.24,0.6,6.83,0,0,0,0,0,1
84,1997-03-28,3,5,0,51,42,0.66,0,5.06,0,0,1,0,0,1
85,1997-03-29,3,6,0,45,39,0,0,5.1,0,0,1,0,1,0
86,1997-03-30,3,7,0,42,45,0,0,10.93,0,0,0,1,1,0
87,1997-03-31,3,1,0,48,50,0,0,3.06,0,0,0,1,0,0
88,1997-04-01,4,2,0,47,53,0.01,0.3,5.46,0,0,0,1,0,0
89,1997-04-02,4,3,0,56,76,0.41,0.1,5,0,0,0,1,0,0
90,1997-04-03,4,4,0,73,71,0.11,0,3.33,0,0,0,1,0,0
91,1997-04-04,4,5,0,73,69,0,0,5.13,0,0,0,1,0,0
92,1997-04-05,4,6,0,71,72,0.04,0,8.4,0,0,0,1,1,0
93,1997-04-06,4,7,0,72,76,0.04,0,8.86,0,0,0,1,1,0
94,1997-04-07,4,1,0,70,16,0,0,6.06,0,0,0,0,0,0
95,1997-04-08,4,2,0,15,22,0,0,3,0,0,1,0,0,1
96,1997-04-09,4,3,0,21,8,0,0,2.56,0,0,0,1,0,1
97,1997-04-10,4,4,0,8,27,0,0,2.66,0,0,0,1,0,0
98,1997-04-11,4,5,0,25,26,0,0,12.16,0,0,0,1,0,0
99,1997-04-12,4,6,0,25,28,0,0,10.9,0,0,0,1,1,0
100,1997-04-13,4,7,0,29,29,0,0,8.2,0,0,0,1,1,0
101,1997-04-14,4,1,0,29,24,0,0,10.53,0,0,0,1,0,0
102,1997-04-15,4,2,0,24,29,0,0,9.73,0,0,0,1,0,0
103,1997-04-16,4,3,0,31,33,0,0,9.96,0,0,1,0,0,0
104,1997-04-17,4,4,0,35,30,0,0,6.06,0,0,1,0,0,1
105,1997-04-18,4,5,0,29,29,0,0,13.2,0,0,1,0,0,1
106,1997-04-19,4,6,0,29,29,0,0,10.73,0,0,1,0,1,0
107,1997-04-20,4,7,0,27,21,0.03,0,11.83,0,0,0,0,1,0
108,1997-04-21,4,1,0,22,23,0,0,11.46,1,0,1,0,0,1
109,1997-04-22,4,2,0,24,21,0,0,10,0,0,1,0,0,1
110,1997-04-23,4,3,0,21,22,0,0,11.86,0,0,1,0,0,1
111,1997-04-24,4,4,0,21,24,0,0,8.63,0,0,1,0,0,1
112,1997-04-25,4,5,0,22,33,0,0,11.06,0,0,1,0,0,1
113,1997-04-26,4,6,0,31,31,0,0,8.96,0,0,1,0,1,0
114,1997-04-27,4,7,0,31,27,0,0,8.36,0,0,0,0,1,0
115,1997-04-28,4,1,0,30,33,0,0,8.1,0,0,0,0,0,1
116,1997-04-29,4,2,0,34,35,0,0,4.9,0,0,1,0,0,1
117,1997-04-30,4,3,0,32,36,0,0,5.96,0,0,1,0,0,1
118,1997-05-01,5,4,0,33,33,0,0,5.96,0,0,1,0,0,1
119,1997-05-02,5,5,0,33,35,0,0,7.73,0,0,1,0,0,1
120,1997-05-03,5,6,0,37,33,0,0,2.93,0,0,1,0,1,0
121,1997-05-04,5,7,0,35,34,0,0,7.93,0,0,0,0,1,0
122,1997-05-05,5,1,0,38,34,0,0,6.7,1,0,1,0,0,1
123,1997-05-06,5,2,0,36,43,0,0.1,5.6,0,0,1,0,0,1
124,1997-05-07,5,3,0,47,46,0.09,0.1,3.43,0,0,0,0,0,1
125,1997-05-08,5,4,0,47,50,0.08,0.4,8.33,0,0,1,0,0,1
126,1997-05-09,5,5,0,50,46,0.59,0,11.93,0,0,0,0,0,1
127,1997-05-10,5,6,0,46,45,0,0.2,5.36,0,0,0,0,1,0
128,1997-05-11,5,7,0,47,31,0.22,0,6.66,0,0,0,0,1,0
129,1997-05-12,5,1,0,29,24,0,0.1,4.6,0,0,0,0,0,1
130,1997-05-13,5,2,0,23,32,0.1,0,5.66,0,0,1,0,0,1
131,1997-05-14,5,3,0,34,34,0.01,0,7.53,0,0,1,0,0,1
132,1997-05-15,5,4,0,37,37,0,0,5.36,0,0,1,0,0,1
133,1997-05-16,5,5,0,38,38,0,0,3.46,0,0,1,0,0,0
134,1997-05-17,5,6,0,37,58,0,0,11.83,0,0,1,0,1,0
135,1997-05-18,5,7,0,60,30,0,0,11.6,1,0,0,0,1,0
136,1997-05-19,5,1,0,31,30,0,0,11.56,0,0,0,0,0,1
137,1997-05-20,5,2,0,27,30,0.01,0,8.96,0,0,1,0,0,1
138,1997-05-21,5,3,0,32,30,0,0,12.96,0,0,1,0,0,1
139,1997-05-22,5,4,0,31,31,0.05,0,11.13,0,0,1,0,0,1
140,1997-05-23,5,5,0,30,26,0.04,0.1,13.3,0,0,1,0,0,1
141,1997-05-24,5,6,0,26,30,0.08,0,11.16,0,0,1,0,1,0
142,1997-05-25,5,7,1,29,24,0.04,0.2,12.5,0,0,0,0,1,0
143,1997-05-26,5,1,0,23,32,0.21,0,0,0,0,0,0,0,1
144,1997-05-27,5,2,0,31,24,0,0,13.23,0,0,1,0,0,1
145,1997-05-28,5,3,0,24,21,0.04,0,9.56,0,0,1,0,0,1
146,1997-05-29,5,4,0,22,23,0,0,11.56,0,1,1,0,0,1
147,1997-05-30,5,5,0,21,25,0,0,7.76,0,0,1,0,0,1
148,1997-05-31,5,6,0,23,19,0,0,9.36,0,0,1,0,1,0
149,1997-06-01,6,7,0,19,21,0,0,13.73,0,0,0,0,1,0
150,1997-06-02,6,1,0,20,38,0,0,9.03,1,0,1,0,0,1
151,1997-06-03,6,2,0,42,37,0,0,4.56,0,0,1,0,0,1
152,1997-06-04,6,3,0,40,48,0,0.5,2.36,0,0,1,0,0,1
153,1997-06-05,6,4,0,47,42,0.38,0,9.76,0,0,1,0,0,1
154,1997-06-06,6,5,0,46,44,0.02,0,5.76,0,0,1,0,0,1
155,1997-06-07,6,6,0,44,44,0,0,5.43,0,0,1,0,1,0
156,1997-06-08,6,7,0,43,39,0.01,0,5.56,0,0,0,0,1,0
157,1997-06-09,6,1,0,40,36,0,0,4.13,0,0,0,0,0,1
158,1997-06-10,6,2,0,37,31,0,0,5.96,0,0,1,0,0,1
159,1997-06-11,6,3,0,33,28,0,0,9.26,0,0,1,0,0,1
160,1997-06-12,6,4,0,29,36,0,0,8.13,0,0,1,0,0,1
161,1997-06-13,6,5,0,33,36,0,0,8.63,0,0,1,0,0,1
162,1997-06-14,6,6,0,35,27,0,0,7.5,0,0,1,0,1,0
163,1997-06-15,6,7,0,26,37,0,0,5.5,1,0,1,0,1,0
164,1997-06-16,6,1,0,36,24,0,0,9.03,1,0,1,0,0,1
165,1997-06-17,6,2,0,23,0,0,0,18.86,0,0,1,0,0,1
166,1997-06-18,6,3,0,0,8,0,0,1.8,0,0,1,0,0,1
167,1997-06-19,6,4,0,8,7,0,0,4.83,0,0,1,0,0,1
168,1997-06-20,6,5,0,7,8,0,0,6.4,0,0,1,0,0,1
169,1997-06-21,6,6,0,8,16,0,0,6.16,0,0,1,0,1,0
170,1997-06-22,6,7,0,17,10,0,0,11,0,0,0,0,1,0
171,1997-06-23,6,1,0,10,3,0,0,9,0,0,0,0,0,1
172,1997-06-24,6,2,0,3,6,0,0,0.53,0,0,1,0,0,1
173,1997-06-25,6,3,0,6,18,0.01,0,1.6,0,0,1,0,0,1
174,1997-06-26,6,4,0,19,7,0,0,6.26,0,0,1,0,0,1
175,1997-06-27,6,5,0,7,24,0,0,2.33,0,0,1,0,0,1
176,1997-06-28,6,6,0,26,26,0,0,9.03,0,0,1,0,1,0
177,1997-06-29,6,7,0,26,21,0,0,5.7,0,0,0,0,1,0
178,1997-06-30,6,1,0,22,26,0,0,9.43,0,0,0,0,0,1
179,1997-07-01,7,2,0,26,21,0,0,6.7,0,0,1,0,0,1
180,1997-07-02,7,3,0,22,18,0,0,6.83,0,0,1,0,0,1
181,1997-07-03,7,4,1,18,20,0,0,6.36,0,0,1,0,0,1
182,1997-07-04,7,5,0,21,21,0,0,10.86,0,0,0,0,0,1
183,1997-07-05,7,6,0,20,7,0,0,7.8,0,0,1,0,1,0
184,1997-07-06,7,7,0,7,12,0,0,3.46,1,0,1,0,1,0
185,1997-07-07,7,1,0,12,43,0,0,3.4,1,0,1,0,0,1
186,1997-07-08,7,2,0,44,40,0,0,1.03,0,0,1,0,0,1
187,1997-07-09,7,3,0,39,21,0,0,7.96,0,0,0,0,0,1
188,1997-07-10,7,4,0,22,13,0,0,2.96,0,0,1,0,0,1
189,1997-07-11,7,5,0,12,33,0,0,6.6,0,0,1,0,0,0
190,1997-07-12,7,6,0,34,57,0,0,6.16,0,0,1,0,1,0
191,1997-07-13,7,7,0,60,36,0,0,52.6,0,0,0,0,1,0
192,1997-07-14,7,1,0,36,34,0,0,6.26,0,0,0,0,0,1
193,1997-07-15,7,2,0,37,32,0,0,10.1,0,0,1,0,0,1
194,1997-07-16,7,3,0,31,32,0,0,4.63,0,0,1,0,0,1
195,1997-07-17,7,4,0,31,25,0,0,5.06,0,0,1,0,0,1
196,1997-07-18,7,5,0,27,31,0.02,0,1.8,0,0,1,0,0,1
197,1997-07-19,7,6,0,33,23,0.01,0,6.23,0,1,1,0,1,0
198,1997-07-20,7,7,0,25,28,0.01,0.2,8.86,1,0,1,0,1,0
199,1997-07-21,7,1,0,29,33,0.13,0,13.73,1,0,1,0,0,1
200,1997-07-22,7,2,0,33,37,0.01,0,7.3,0,0,1,0,0,1
201,1997-07-23,7,3,0,37,43,0,0,8.63,0,0,1,0,0,1
202,1997-07-24,7,4,0,40,29,0,0.1,11.7,0,0,1,0,0,1
203,1997-07-25,7,5,0,28,26,0.05,0.1,11.23,0,0,1,0,0,1
204,1997-07-26,7,6,0,29,39,0.19,0,11.5,0,0,1,0,1,0
205,1997-07-27,7,7,0,39,45,0,0.1,10.16,0,0,0,0,1,0
206,1997-07-28,7,1,0,50,41,0.16,0,4.43,0,0,0,0,0,1
207,1997-07-29,7,2,0,43,39,0,0,2.3,0,0,1,0,0,1
208,1997-07-30,7,3,0,41,39,0,0,4.2,0,0,1,0,0,1
209,1997-07-31,7,4,0,43,42,0,0,2.36,0,0,1,0,0,1
210,1997-08-01,8,5,0,43,46,0,0.4,1.86,0,0,1,0,0,1
211,1997-08-02,8,6,0,48,19,0.63,0,5.03,0,0,1,0,1,0
212,1997-08-03,8,7,0,21,21,0,0,7.9,1,0,1,0,1,0
213,1997-08-04,8,1,0,20,20,0,0,10.76,1,0,1,0,0,1
214,1997-08-05,8,2,0,20,18,0,0,7.8,0,0,1,0,0,1
215,1997-08-06,8,3,0,19,23,0,0,9.46,0,0,1,0,0,1
216,1997-08-07,8,4,0,21,29,0,0.1,8.1,0,0,1,0,0,1
217,1997-08-08,8,5,0,29,29,0.05,0,11.4,0,0,1,0,0,1
218,1997-08-09,8,6,0,29,32,0.02,0,12.43,0,0,1,0,1,0
219,1997-08-10,8,7,0,31,29,0,0,8.53,0,0,0,0,1,0
220,1997-08-11,8,1,0,30,29,0,0,11.93,0,0,0,0,0,1
221,1997-08-12,8,2,0,27,31,0,0,11.46,0,0,1,0,0,1
222,1997-08-13,8,3,0,29,28,0,0,12.7,0,0,1,0,0,1
223,1997-08-14,8,4,0,28,35,0.03,0,11.23,0,0,1,0,0,1
224,1997-08-15,8,5,0,33,35,0,0,5.46,0,0,1,0,0,1
225,1997-08-16,8,6,0,35,31,0,0,7.16,0,0,1,0,1,0
226,1997-08-17,8,7,0,33,39,0,0,3.96,1,0,1,0,1,0
227,1997-08-18,8,1,0,36,37,0,0.2,5.1,1,0,1,0,0,1
228,1997-08-19,8,2,0,36,7,0.21,0,9.46,0,0,1,0,0,1
229,1997-08-20,8,3,0,7,28,0.06,0.1,3.5,0,0,1,0,0,1
230,1997-08-21,8,4,0,30,33,0.06,0,7.86,0,0,1,0,0,1
231,1997-08-22,8,5,0,34,17,0.01,0,3.4,0,0,1,0,0,1
232,1997-08-23,8,6,0,19,30,0.01,0.4,4,0,1,1,0,1,0
233,1997-08-24,8,7,0,32,16,0.31,0,19.93,0,0,0,0,1,0
234,1997-08-25,8,1,0,15,31,0,0.4,2.8,0,0,0,0,0,1
235,1997-08-26,8,2,0,32,36,0.29,0,7.13,0,0,1,0,0,1
236,1997-08-27,8,3,0,34,27,0,0.4,8.3,0,0,1,0,0,1
237,1997-08-28,8,4,0,29,37,0.31,0,13.96,0,0,1,0,0,1
238,1997-08-29,8,5,0,36,39,0,0,8.8,0,0,1,0,0,1
239,1997-08-30,8,6,0,39,33,0,0,8.3,0,0,1,0,1,0
240,1997-08-31,8,7,1,31,29,0.01,0,9.53,0,0,0,0,1,0
241,1997-09-01,9,1,0,32,29,0,0,9.13,0,0,0,0,0,0
242,1997-09-02,9,2,0,31,83,0.01,0.1,7.83,0,0,1,0,0,1
243,1997-09-03,9,3,0,77,33,0.05,0,5.9,0,0,0,0,0,1
244,1997-09-04,9,4,0,36,46,0,0,7.36,0,0,1,0,0,0
245,1997-09-05,9,5,0,45,57,0,0.6,1.13,0,0,1,0,0,1
246,1997-09-06,9,6,0,53,48,0.55,0,3.86,0,0,1,0,1,0
247,1997-09-07,9,7,0,49,47,0,0,2.3,1,0,0,0,1,0
248,1997-09-08,9,1,0,45,20,0,0,2.53,0,0,0,0,0,1
249,1997-09-09,9,2,0,18,18,0,0,6.16,0,0,1,0,0,1
250,1997-09-10,9,3,0,18,24,0,0,8.4,0,0,1,0,0,1
251,1997-09-11,9,4,0,22,25,0,0,10.5,0,0,1,0,0,1
252,1997-09-12,9,5,0,24,17,0,0,3.26,0,0,1,0,0,1
253,1997-09-13,9,6,0,18,37,0,0,7.2,0,0,1,0,1,0
254,1997-09-14,9,7,0,34,40,0,0,3.93,0,0,0,0,1,0
255,1997-09-15,9,1,0,40,39,0,0,3.6,0,0,0,0,0,1
256,1997-09-16,9,2,0,37,35,0,0,5.66,0,0,1,0,0,1
257,1997-09-17,9,3,0,34,35,0,0,4.23,0,0,1,0,0,1
258,1997-09-18,9,4,0,36,41,0,0,2.5,0,0,1,0,0,1
259,1997-09-19,9,5,0,40,40,0,0,3.53,0,0,1,0,0,1
260,1997-09-20,9,6,0,39,34,0,0,3.73,0,0,0,0,1,0
261,1997-09-21,9,7,0,37,38,0,0,0.5,0,0,0,0,1,0
262,1997-09-22,9,1,0,41,36,0,0,5.76,0,0,0,0,0,1
263,1997-09-23,9,2,0,34,49,0,0.3,4.73,0,0,1,0,0,1
264,1997-09-24,9,3,0,46,45,0.22,0.2,8,0,0,1,0,0,1
265,1997-09-25,9,4,0,47,47,0.2,0,4.1,0,0,0,0,0,1
266,1997-09-26,9,5,0,48,52,0.02,0.7,9.56,0,0,1,0,0,1
267,1997-09-27,9,6,0,47,40,1.54,0,13.2,0,0,1,0,1,0
268,1997-09-28,9,7,0,38,52,0,0,4.63,1,0,1,0,1,0
269,1997-09-29,9,1,0,48,44,0.01,4.1,7.73,0,0,0,0,0,1
270,1997-09-30,9,2,0,47,36,1.81,0,13.03,0,0,1,0,0,1
271,1997-10-01,10,3,0,35,41,0,0,4.23,0,0,1,0,0,1
272,1997-10-02,10,4,0,44,49,0,0,4.9,0,0,1,0,0,1
273,1997-10-03,10,5,0,46,45,0,0.7,6.73,0,0,1,0,0,1
274,1997-10-04,10,6,0,47,35,0.57,0,3.16,0,0,0,0,1,0
275,1997-10-05,10,7,0,37,40,0,0,5,0,0,0,0,1,0
276,1997-10-06,10,1,0,44,50,0,0.3,5.93,0,0,0,0,0,1
277,1997-10-07,10,2,0,49,51,0.23,0.1,13.9,0,0,1,0,0,1
278,1997-10-08,10,3,0,50,32,0.09,0,9.56,0,0,0,0,0,1
279,1997-10-09,10,4,0,34,35,0,0,5.1,0,0,1,0,0,1
280,1997-10-10,10,5,0,37,38,0.04,0,6.4,0,0,1,0,0,1
281,1997-10-11,10,6,0,42,45,0,0.9,4.93,0,0,1,0,1,0
282,1997-10-12,10,7,1,47,46,1.04,1.4,6.2,0,0,0,0,1,0
283,1997-10-13,10,1,0,47,42,1.29,0.1,8.46,1,0,1,0,0,1
284,1997-10-14,10,2,0,45,37,0,0,6.26,0,0,0,0,0,1
285,1997-10-15,10,3,0,40,14,0,0,8.06,0,0,1,0,0,1
286,1997-10-16,10,4,0,15,39,0,0,1.6,0,0,1,0,0,1
287,1997-10-17,10,5,0,41,32,0,0,9.33,0,0,0,0,0,1
288,1997-10-18,10,6,0,31,39,0.03,0,6.5,0,0,1,0,1,0
289,1997-10-19,10,7,0,39,45,0,0,3.6,0,0,0,0,1,0
290,1997-10-20,10,1,0,45,39,0,0,4.7,0,0,0,0,0,1
291,1997-10-21,10,2,0,41,40,0,0,3.6,0,0,0,0,0,1
292,1997-10-22,10,3,0,41,42,0,0,9.33,0,0,0,0,0,1
293,1997-10-23,10,4,0,41,41,0,0,4.26,0,0,0,0,0,1
294,1997-10-24,10,5,0,41,10,0,0.1,4.83,0,0,1,0,0,1
295,1997-10-25,10,6,0,10,12,0.07,0.1,6.2,0,1,1,0,1,0
296,1997-10-26,10,7,0,12,28,0.07,0,7.2,0,0,0,0,1,0
297,1997-10-27,10,1,0,26,32,0.02,0,0.5,0,0,0,0,0,1
298,1997-10-28,10,2,0,34,38,0,0,2.53,0,0,1,0,0,1
299,1997-10-29,10,3,0,35,12,0.02,0.1,4.96,0,0,1,0,0,1
300,1997-10-30,10,4,0,12,15,0.09,0.2,5.2,0,0,1,0,0,1
301,1997-10-31,10,5,0,16,34,0.26,0,3.2,0,0,1,0,0,1
302,1997-11-01,11,6,0,33,38,0,0,7.6,0,0,1,0,1,0
303,1997-11-02,11,7,0,37,33,0,0,7.23,0,0,0,0,1,0
304,1997-11-03,11,1,0,32,35,0,0,5.26,0,0,0,0,0,1
305,1997-11-04,11,2,0,36,22,0,0,6.23,0,0,1,0,0,1
306,1997-11-05,11,3,0,23,26,0,0,9.4,0,0,1,0,0,1
307,1997-11-06,11,4,0,25,24,0,0,8.16,0,0,1,0,0,1
308,1997-11-07,11,5,0,24,24,0,0,5.6,0,0,1,0,0,1
309,1997-11-08,11,6,0,26,22,0,0,10.96,0,0,1,0,1,0
310,1997-11-09,11,7,0,21,24,0,0,16.13,0,0,0,0,1,0
311,1997-11-10,11,1,1,23,12,0,0,8.33,0,0,0,0,0,1
312,1997-11-11,11,2,0,11,3,0,0,0.43,0,0,0,0,0,1
313,1997-11-12,11,3,0,3,22,0,0,1.9,0,0,1,0,0,1
314,1997-11-13,11,4,0,22,46,0,0.4,0.8,0,0,1,0,0,1
315,1997-11-14,11,5,0,44,42,0.52,0.4,6.55,0,0,0,0,0,1
316,1997-11-15,11,6,0,43,49,0.43,0.1,8.34,0,0,0,0,1,0
317,1997-11-16,11,7,0,49,50,0.13,0.1,6.58,0,0,0,0,1,0
318,1997-11-17,11,1,0,47,26,0.11,0,7.55,0,0,0,0,0,1
319,1997-11-18,11,2,0,28,34,0,0.5,4.02,0,0,1,0,0,1
320,1997-11-19,11,3,0,36,31,0.48,0,5.42,0,0,1,0,0,1
321,1997-11-20,11,4,0,28,6,0.03,0,18,0,0,1,0,0,1
322,1997-11-21,11,5,0,6,31,0,2.7,3.98,0,0,1,0,0,1
323,1997-11-22,11,6,0,32,36,2.35,1.8,14.3,0,0,1,0,1,0
324,1997-11-23,11,7,0,35,13,0.81,0,5.88,0,0,0,0,1,0
325,1997-11-24,11,1,0,13,2,0,0,18.5,0,0,0,0,0,1
326,1997-11-25,11,2,0,2,0,0,0,1.58,0,0,1,0,0,1
327,1997-11-26,11,3,1,0,40,0,0,1.35,0,0,1,0,0,1
328,1997-11-27,11,4,0,37,36,1.75,0,9.45,0,1,0,0,0,1
329,1997-11-28,11,5,0,37,25,0,0.5,14.15,0,0,1,0,0,1
330,1997-11-29,11,6,0,27,31,0.33,0,1.81,0,0,1,0,1,0
331,1997-11-30,11,7,0,30,34,0.03,3.4,13.51,0,0,0,0,1,0
332,1997-12-01,12,1,0,34,38,1.33,0.1,5.17,0,0,0,0,0,1
333,1997-12-02,12,2,0,35,40,0.04,4.5,14.55,0,0,1,0,0,1
334,1997-12-03,12,3,0,37,23,2.66,0.1,16.28,0,0,1,0,0,1
335,1997-12-04,12,4,0,23,13,0.03,0,18.08,0,0,1,0,0,1
336,1997-12-05,12,5,0,14,27,0,0.1,1.72,0,0,1,0,0,1
337,1997-12-06,12,6,0,29,-13,0.09,0,16.57,0,0,1,0,1,0
338,1997-12-07,12,7,0,-13,25,0,0,0.32,0,0,0,0,1,0
339,1997-12-08,12,1,0,27,58,0,0,8.87,0,0,0,0,0,0
340,1997-12-09,12,2,0,60,60,0,0,2.34,0,0,0,0,0,0
341,1997-12-10,12,3,0,60,59,0,0,0,0,0,0,0,0,1
342,1997-12-11,12,4,0,60,40,0,0.1,14,0,0,0,0,0,1
343,1997-12-12,12,5,0,39,35,0.13,0.1,6.31,0,0,0,0,0,1
